Name, Category Id, Category label, Score
Precision and the Consequences for the Modern Battlefield.txt, 16000000, unrest, conflicts and war, 0.7589
Precision and the Consequences for the Modern Battlefield.txt, 16002000, unrest, conflicts and war>armed conflict, 0.7267
Precision and the Consequences for the Modern Battlefield.txt, 16009000, unrest, conflicts and war>war, 0.5772
Precision and the Consequences for the Modern Battlefield.txt, 16010000, unrest, conflicts and war>conflict (general), 0.5727
Precision and the Consequences for the Modern Battlefield.txt, 13010000, science and technology>technology (general), 0.5493
Precision and the Consequences for the Modern Battlefield.txt, 13009000, science and technology>science (general), 0.5313
NETWORK.txt, 04003000, economy, business and finance>computing and information technology, 0.5243
NETWORK.txt, 13010000, science and technology>technology (general), 0.5159
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 07000000, health, 0.7141
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13000000, science and technology, 0.6986
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13003003, science and technology>human science>psychology, 0.6826
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13009000, science and technology>science (general), 0.6383
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 07007000, health>medicine, 0.6382
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13004008, science and technology>natural science>biology, 0.635
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13005000, science and technology>philosophical science, 0.6125
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13004006, science and technology>natural science>physiology, 0.579
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13003000, science and technology>human science, 0.5721
Far Future Advances in Neurosciences to Optimize Human Performance.txt, 13010000, science and technology>technology (general), 0.5669
Deep_Future_OE_2.txt, 16000000, unrest, conflicts and war, 0.724
Deep_Future_OE_2.txt, 16002000, unrest, conflicts and war>armed conflict, 0.6629
Deep_Future_OE_2.txt, 16009000, unrest, conflicts and war>war, 0.5583
Deep_Future_OE_2.txt, 13000000, science and technology, 0.546
Deep_Future_OE_2.txt, 13010000, science and technology>technology (general), 0.5334
Deep_Future_OE_2.txt, 13009000, science and technology>science (general), 0.5334
Deep_Future_OE_2.txt, 04003000, economy, business and finance>computing and information technology, 0.5305
Deep_Future_OE_2.txt, 04015000, economy, business and finance>transport, 0.5296
Deep_Future_OE_2.txt, 13002000, science and technology>engineering, 0.5159
LittleDavid.txt, 16000000, unrest, conflicts and war, 0.5583
LittleDavid.txt, 16002000, unrest, conflicts and war>armed conflict, 0.5273
LittleDavid.txt, 13002000, science and technology>engineering, 0.5159
robotfloorDEMO.txt, 13009000, science and technology>science (general), 0.5159
robotfloorDEMO.txt, 08001000, human interest>animal, 0.5158
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 16002000, unrest, conflicts and war>armed conflict, 0.7184
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 13000000, science and technology, 0.701
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 16000000, unrest, conflicts and war, 0.6723
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 13003003, science and technology>human science>psychology, 0.644
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 04003000, economy, business and finance>computing and information technology, 0.6235
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 13009000, science and technology>science (general), 0.6172
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 13010000, science and technology>technology (general), 0.5811
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 05000000, education, 0.5784
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 13003000, science and technology>human science, 0.5681
2016 CSS-US Army TRADOC Mad Scientist Conference Day 2 Welcome.txt, 13005000, science and technology>philosophical science, 0.5428
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13000000, science and technology, 0.698
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13003003, science and technology>human science>psychology, 0.6821
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 07007000, health>medicine, 0.6526
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13009000, science and technology>science (general), 0.6378
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13004008, science and technology>natural science>biology, 0.6305
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13005000, science and technology>philosophical science, 0.6122
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13004006, science and technology>natural science>physiology, 0.5903
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 07000000, health, 0.5815
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 13003000, science and technology>human science, 0.5716
TRADOC Mad Scientist 2015 - Far Future Advances w_ Dr A. Kruse.txt, 01010000, arts, culture and entertainment>literature, 0.5101
TRADOC Mad Scientist 2015 Human Dimension - Divergence w_ Dr K. Hutchinson.txt, 08001000, human interest>animal, 0.5555
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 04003000, economy, business and finance>computing and information technology, 0.8134
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 16002000, unrest, conflicts and war>armed conflict, 0.7389
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 16000000, unrest, conflicts and war, 0.7001
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13000000, science and technology, 0.6633
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13009000, science and technology>science (general), 0.6374
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13003003, science and technology>human science>psychology, 0.5854
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13005000, science and technology>philosophical science, 0.574
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13004008, science and technology>natural science>biology, 0.5648
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13010000, science and technology>technology (general), 0.5368
TRADOC Mad Scientist 2015 Human Dimension - Far Future Advances w_ Mr A Herr.txt, 13003000, science and technology>human science, 0.5332
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 13000000, science and technology, 0.6271
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 05000000, education, 0.6248
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 13005000, science and technology>philosophical science, 0.5956
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 13003003, science and technology>human science>psychology, 0.5918
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 05010000, education>teaching and learning, 0.5882
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 13009000, science and technology>science (general), 0.5835
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 15000000, sport, 0.5599
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 13003000, science and technology>human science, 0.5238
TRADOC Mad Scientist 2015- Building cohesive teams for OE w_ J Castonguay.txt, 05002000, education>further education, 0.5184
