Name, Topic Label, Score
Precision and the Consequences for the Modern Battlefield.txt, Military, 1
Precision and the Consequences for the Modern Battlefield.txt, Weapon, 1
Precision and the Consequences for the Modern Battlefield.txt, War, 1
Precision and the Consequences for the Modern Battlefield.txt, Technology, 1
Precision and the Consequences for the Modern Battlefield.txt, Ship, 1
Precision and the Consequences for the Modern Battlefield.txt, United States, 1
Precision and the Consequences for the Modern Battlefield.txt, Navy, 1
Precision and the Consequences for the Modern Battlefield.txt, Sea, 1
Precision and the Consequences for the Modern Battlefield.txt, Western Front (World War I), 1
Precision and the Consequences for the Modern Battlefield.txt, Maneuver warfare, 1
Precision and the Consequences for the Modern Battlefield.txt, Tank, 1
Precision and the Consequences for the Modern Battlefield.txt, Battle, 1
Precision and the Consequences for the Modern Battlefield.txt, Strategic management, 1
Precision and the Consequences for the Modern Battlefield.txt, Risk, 1
Precision and the Consequences for the Modern Battlefield.txt, Armoured warfare, 1
Precision and the Consequences for the Modern Battlefield.txt, Allies of World War II, 1
Precision and the Consequences for the Modern Battlefield.txt, Army, 1
Precision and the Consequences for the Modern Battlefield.txt, Aircraft carrier, 1
Precision and the Consequences for the Modern Battlefield.txt, Artillery battery, 1
Precision and the Consequences for the Modern Battlefield.txt, Innovation, 1
Precision and the Consequences for the Modern Battlefield.txt, Military science, 1
Precision and the Consequences for the Modern Battlefield.txt, International security, 1
Precision and the Consequences for the Modern Battlefield.txt, Warfare, 1
Precision and the Consequences for the Modern Battlefield.txt, Nazi Germany, 0.9979
Precision and the Consequences for the Modern Battlefield.txt, Crime, 0.9972
Precision and the Consequences for the Modern Battlefield.txt, Artillery, 0.9941
Precision and the Consequences for the Modern Battlefield.txt, Revolution in Military Affairs, 0.9827
Precision and the Consequences for the Modern Battlefield.txt, France, 0.9706
Precision and the Consequences for the Modern Battlefield.txt, Air supremacy, 0.9574
Precision and the Consequences for the Modern Battlefield.txt, Accuracy and precision, 0.9561
Precision and the Consequences for the Modern Battlefield.txt, Overwatch (video game), 0.9542
Precision and the Consequences for the Modern Battlefield.txt, Naval artillery, 0.9311
Precision and the Consequences for the Modern Battlefield.txt, Australia, 0.9256
Precision and the Consequences for the Modern Battlefield.txt, National security, 0.9236
Precision and the Consequences for the Modern Battlefield.txt, Reason, 0.9182
Precision and the Consequences for the Modern Battlefield.txt, Battleship, 0.8918
Precision and the Consequences for the Modern Battlefield.txt, Adaptation, 0.8881
Precision and the Consequences for the Modern Battlefield.txt, United Kingdom, 0.8542
Precision and the Consequences for the Modern Battlefield.txt, World War I, 0.8378
Precision and the Consequences for the Modern Battlefield.txt, Cyberwarfare, 0.8339
Precision and the Consequences for the Modern Battlefield.txt, Command of the sea, 0.8304
Precision and the Consequences for the Modern Battlefield.txt, China, 0.8256
Precision and the Consequences for the Modern Battlefield.txt, Altruism, 0.8246
Precision and the Consequences for the Modern Battlefield.txt, Pendulum, 0.8202
Precision and the Consequences for the Modern Battlefield.txt, Missile, 0.8196
Precision and the Consequences for the Modern Battlefield.txt, Israel, 0.8088
Precision and the Consequences for the Modern Battlefield.txt, Emerging technologies, 0.807
Precision and the Consequences for the Modern Battlefield.txt, Sailing ship tactics, 0.8066
Precision and the Consequences for the Modern Battlefield.txt, Military history, 0.7987
Precision and the Consequences for the Modern Battlefield.txt, The Emergency (Ireland), 0.7971
Precision and the Consequences for the Modern Battlefield.txt, Future, 0.7839
Precision and the Consequences for the Modern Battlefield.txt, Artificial objects, 0.7819
Precision and the Consequences for the Modern Battlefield.txt, Cannon, 0.7794
Precision and the Consequences for the Modern Battlefield.txt, Camouflage, 0.7779
Precision and the Consequences for the Modern Battlefield.txt, Security, 0.7749
Precision and the Consequences for the Modern Battlefield.txt, United States Army, 0.7731
Precision and the Consequences for the Modern Battlefield.txt, Submarine, 0.7495
Precision and the Consequences for the Modern Battlefield.txt, Napoleonic Wars, 0.7493
Precision and the Consequences for the Modern Battlefield.txt, Ford Motor Company, 0.7489
Precision and the Consequences for the Modern Battlefield.txt, Close air support, 0.7455
Precision and the Consequences for the Modern Battlefield.txt, Evolution, 0.7393
Precision and the Consequences for the Modern Battlefield.txt, Reality, 0.7365
Precision and the Consequences for the Modern Battlefield.txt, Social media, 0.7354
Precision and the Consequences for the Modern Battlefield.txt, Transport, 0.7343
Precision and the Consequences for the Modern Battlefield.txt, Hazards, 0.734
Precision and the Consequences for the Modern Battlefield.txt, Aircraft, 0.73
Precision and the Consequences for the Modern Battlefield.txt, Rifle, 0.7045
Precision and the Consequences for the Modern Battlefield.txt, Naval warfare, 0.7037
Precision and the Consequences for the Modern Battlefield.txt, Military technology, 0.6951
Precision and the Consequences for the Modern Battlefield.txt, Attack on Pearl Harbor, 0.695
Precision and the Consequences for the Modern Battlefield.txt, Espionage, 0.6903
Precision and the Consequences for the Modern Battlefield.txt, Airship, 0.6886
Precision and the Consequences for the Modern Battlefield.txt, Global Positioning System, 0.6836
Precision and the Consequences for the Modern Battlefield.txt, The Art of War, 0.6835
Precision and the Consequences for the Modern Battlefield.txt, Unmanned aerial vehicle, 0.6747
Precision and the Consequences for the Modern Battlefield.txt, Gun, 0.6685
Precision and the Consequences for the Modern Battlefield.txt, Nuclear weapon, 0.6654
Precision and the Consequences for the Modern Battlefield.txt, Tax, 0.6639
Precision and the Consequences for the Modern Battlefield.txt, Art, 0.6614
Precision and the Consequences for the Modern Battlefield.txt, Interceptor aircraft, 0.6425
Precision and the Consequences for the Modern Battlefield.txt, Prison, 0.6414
Precision and the Consequences for the Modern Battlefield.txt, Emergency, 0.6295
Precision and the Consequences for the Modern Battlefield.txt, Investment, 0.628
Precision and the Consequences for the Modern Battlefield.txt, Rocket, 0.6243
Precision and the Consequences for the Modern Battlefield.txt, RAF Coastal Command, 0.6131
Precision and the Consequences for the Modern Battlefield.txt, Warship, 0.6105
Precision and the Consequences for the Modern Battlefield.txt, Strike action, 0.6063
Precision and the Consequences for the Modern Battlefield.txt, Erich Ludendorff, 0.6052
Precision and the Consequences for the Modern Battlefield.txt, Swarm behaviour, 0.6044
Precision and the Consequences for the Modern Battlefield.txt, Bomb, 0.601
NETWORK.txt, Telecommunications, 1
NETWORK.txt, Networks, 1
NETWORK.txt, Technology, 1
NETWORK.txt, Computer networking, 1
NETWORK.txt, Computing, 1
NETWORK.txt, Data transmission, 0.9695
NETWORK.txt, Electronics, 0.9357
NETWORK.txt, Communication, 0.9355
NETWORK.txt, Digital technology, 0.8919
NETWORK.txt, Telecommunications engineering, 0.8561
NETWORK.txt, Computer data, 0.8057
NETWORK.txt, Electrical engineering, 0.7805
NETWORK.txt, Media technology, 0.7569
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Brain, 1
Far Future Advances in Neurosciences to Optimize Human Performance.txt, Neuroscience, 1
